0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
Antiquities War,Humans,41.0,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Humans"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Humans"", ""value"":0.0},"
Antiquities War,Infect,39.5,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Infect"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Infect"", ""value"":0.0},"
Antiquities War,Junk,42.0,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Junk"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Junk"", ""value"":0.0},"
Antiquities War,Lands,54.571428571,0.571428571,0.010362694292907192,"{""source"": ""Antiquities War"", ""target"": ""Lands"", ""value"":0.010362694292907192},","{""source"": ""Antiquities War"", ""target"": ""Lands"", ""value"":0.1017973196744747},"
Antiquities War,Legacy Landstill,42.0,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Legacy Landstill"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Legacy Landstill"", ""value"":0.0},"
Antiquities War,LOAM,46.666666667,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""LOAM"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""LOAM"", ""value"":0.0},"
Antiquities War,Maverick,42.666666665,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Maverick"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Maverick"", ""value"":0.0},"
Antiquities War,Merfolk,40.0,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Merfolk"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Merfolk"", ""value"":0.0},"
Antiquities War,MUD,31.5,6.0,0.16,"{""source"": ""Antiquities War"", ""target"": ""MUD"", ""value"":0.16},","{""source"": ""Antiquities War"", ""target"": ""MUD"", ""value"":0.4},"
Antiquities War,Nic Fit,44.999999998999996,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Nic Fit"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Nic Fit"", ""value"":0.0},"
Antiquities War,Painter,19.0,11.0,0.36666666666666664,"{""source"": ""Antiquities War"", ""target"": ""Painter"", ""value"":0.36666666666666664},","{""source"": ""Antiquities War"", ""target"": ""Painter"", ""value"":0.6055300708194983},"
Antiquities War,Pikula,41.5,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Pikula"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Pikula"", ""value"":0.0},"
Antiquities War,Reanimator,35.16666666900001,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Reanimator"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Reanimator"", ""value"":0.0},"
Antiquities War,Slivers,41.0,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Slivers"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Slivers"", ""value"":0.0},"
Antiquities War,Sneak & Show,34.538461539,2.923076923,0.07802874743025015,"{""source"": ""Antiquities War"", ""target"": ""Sneak & Show"", ""value"":0.07802874743025015},","{""source"": ""Antiquities War"", ""target"": ""Sneak & Show"", ""value"":0.27933626229018343},"
Antiquities War,Stoneblade,40.5,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Stoneblade"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Stoneblade"", ""value"":0.0},"
Antiquities War,Storm,34.666666666,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Storm"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Storm"", ""value"":0.0},"
Antiquities War,UR Delver,38.0,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""UR Delver"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""UR Delver"", ""value"":0.0},"
Antiquities War,UWx Control,39.875,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""UWx Control"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""UWx Control"", ""value"":0.0},"
Antiquities War,Zombie Bombardment,40.0,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Zombie Bombardment"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Zombie Bombardment"", ""value"":0.0},"
